author_id,display_name,career_start,career_end,n_ai_works,origin_group,abroad,abroad_year,hit,hit_year,pi_year,pi,active,recent_group
A5102305193,Xiaojun Xu,2002,2025,143,Sinic,False,,True,2008.0,2010.0,True,True,Sinic
A5076815474,Kyung Taec Kim,2003,2026,114,Sinic,False,,True,2004.0,2016.0,True,True,Sinic
A5057643027,Zhibo Hou,2014,2025,49,Sinic,True,2017.0,True,2014.0,,False,True,Sinic
A5043586884,Baile Zhang,2007,2026,246,United States,True,2007.0,True,2007.0,2013.0,True,True,Sinic
A5036451969,Satyabrata Adhikari,2005,2026,104,Hindu,True,2010.0,True,2008.0,,False,True,Hindu
A5005956765,Johann Riemensberger,2012,2026,148,Continental Europe,False,,True,2012.0,,False,True,Continental Europe
A5075345548,Spyros N. Yannopoulos,2001,2023,10,Continental Europe,False,,False,,2014.0,True,True,Continental Europe
A5080095202,Goutam Kumar Dalapati,2003,2020,64,Hindu,True,2004.0,True,2004.0,2012.0,True,True,
A5088885385,Yang Qin,2006,2025,14,Sinic,True,2009.0,True,2009.0,2020.0,True,True,Sinic
A5029190095,Praveen Malik,2006,2025,45,Hindu,False,,False,,2017.0,True,True,Hindu
A5013657336,C. Paladini,2009,2024,23,Continental Europe,False,,True,2017.0,2021.0,True,True,Other Civilizations
A5103149240,Zhensheng Tao,2008,2026,32,Sinic,False,,True,2016.0,2025.0,True,True,Sinic
A5020641761,Oren Cohen,2002,2026,319,Other Western,True,2004.0,True,2002.0,2006.0,True,True,Other Western
A5089793407,Taro Kanao,2012,2024,41,Japanese,False,,True,2015.0,,False,True,Japanese
A5066012394,R. S. Patel,2002,2026,20,Hindu,False,,True,2009.0,2018.0,True,True,
A5073719770,Lorenzo Rosa,2005,2025,52,Continental Europe,True,2008.0,True,2006.0,2012.0,True,True,Continental Europe
A5012266771,D. Cohen,2005,2025,14,United States,False,,True,2005.0,,False,True,Other Western
A5045162285,Miao-Hsuan Chien,2016,2021,14,Continental Europe,True,2016.0,True,2018.0,,False,True,Continental Europe
A5051176647,F. Saidi,2002,2025,81,Islamic,True,2004.0,False,,2020.0,True,True,Islamic
A5012306045,G.A. Basheed,2005,2026,31,Hindu,False,,True,2012.0,2022.0,True,True,Hindu
A5029129597,Eiji Saitoh,2001,2026,501,Japanese,False,,True,2002.0,2008.0,True,True,Japanese
A5071226980,Xin Ou,2009,2026,128,Sinic,True,2009.0,True,2009.0,2018.0,True,True,Sinic
A5004098224,S. P. Walborn,2001,2026,164,Other Civilizations,False,,True,2001.0,2008.0,True,True,Other Civilizations
A5053790633,Dean Liu,2000,2022,172,Sinic,False,,True,2003.0,2007.0,True,True,Sinic
A5017172159,Itai Leven,2012,2022,19,Other Western,False,,True,2016.0,,False,True,United States
A5036917964,Hagen Hofmann,2008,2026,14,Continental Europe,False,,True,2012.0,2024.0,True,True,Other Western
A5051997008,A. K. Soma,2009,2023,11,Sinic,True,2009.0,True,2009.0,,False,True,United States
A5037607508,R. van Boekel,2001,2026,43,Continental Europe,False,,True,2001.0,2019.0,True,True,Continental Europe
A5048332393,Hiraku Matsukuma,2008,2025,58,Japanese,False,,False,,,False,True,Japanese
A5037914527,Klemens Hammerer,2002,2026,190,Continental Europe,False,,True,2002.0,2020.0,True,True,Continental Europe
A5034397421,Yun‐Feng Xiao,2004,2026,309,Sinic,True,2007.0,True,2004.0,2011.0,True,True,Sinic
A5078202072,Raphaël C. Assier,2011,2026,37,Anglosphere ex-US,False,,True,2019.0,2019.0,True,True,Anglosphere ex-US
A5030779161,Luis Riegger,2015,2023,16,Continental Europe,False,,True,2015.0,,False,True,Continental Europe
A5088468396,Dengguo Zhang,2005,2023,24,Sinic,False,,False,,2013.0,True,True,Sinic
A5065603332,Yan‐Li Ji,2009,2025,27,Sinic,False,,True,2009.0,,False,True,Sinic
A5003062025,Oded Hod,2003,2026,89,Other Western,True,2007.0,True,2003.0,2016.0,True,True,Other Western
A5060496354,Kh. H. El-Shorbagy,2001,2025,26,Islamic,True,2006.0,False,,,False,True,Islamic
A5080679859,Saeed Rastgoo,2009,2026,10,Other Civilizations,False,,True,2011.0,,False,True,Anglosphere ex-US
A5027558195,Martin Centurion,2000,2026,127,United States,True,2004.0,True,2004.0,2016.0,True,True,United States
A5011823318,A. Freddie Page,2014,2017,11,Anglosphere ex-US,False,,True,2014.0,,False,False,
A5064057065,Blaise Ravelo,2007,2026,146,Continental Europe,False,,True,2007.0,2015.0,True,True,Sinic
A5101774954,Jinbao Chen,2007,2026,141,Sinic,False,,True,2012.0,2011.0,True,True,Sinic
A5106076611,M. Contalbrigo,2000,2025,44,Continental Europe,False,,True,2000.0,,False,True,Continental Europe
A5112582410,А. A. Калинкин,2003,2026,34,Other Civilizations,False,,True,2011.0,,False,True,Other Civilizations
A5079931540,Fernando de Juan,2007,2026,105,Continental Europe,True,2011.0,True,2007.0,2011.0,True,True,Continental Europe
A5111731501,S. Anefalos Pereira,2009,2017,11,Continental Europe,False,,True,2015.0,,False,False,
A5065399853,Zelin Ma,2015,2024,21,Sinic,True,2018.0,True,2018.0,,False,True,United States
A5000170072,P. MacInnes,2006,2026,61,Anglosphere ex-US,True,2006.0,True,2007.0,2009.0,True,True,Anglosphere ex-US
A5008241525,Su-Ju Wang,2014,2021,17,United States,False,,True,2014.0,,False,True,United States
A5018103331,H. Çetin,2004,2018,22,Islamic,False,,True,2005.0,,False,False,
A5023963936,H. Videlier,2008,2012,24,Continental Europe,True,2009.0,True,2008.0,,False,False,
