rate,value,target_value_after_1pct_change,elasticity,group,target,M_threshold,abs_elasticity
d,0.0456012888273175,28804.079126140725,-3.3861730540939794,Anglosphere ex-US,domestic_PIs,614.0,3.3861730540939794
r,0.0632577051519547,30114.76756493026,1.0101010100988914,Anglosphere ex-US,domestic_PIs,614.0,1.0101010100988914
I0,1885.9411764725492,30111.756088174403,1.0000000000000209,Anglosphere ex-US,domestic_PIs,614.0,1.0000000000000209
d,0.0458472850546197,80677.99448727295,-3.386026225858925,Continental Europe,domestic_PIs,781.0,3.386026225858925
r,0.0594927257639028,84349.00309040582,1.01010101009604,Continental Europe,domestic_PIs,781.0,1.01010101009604
I0,4967.970588247397,84340.56819010094,1.000000000000007,Continental Europe,domestic_PIs,781.0,1.000000000000007
d,0.0277057844536427,29332.29583410979,-3.047722595313703,Hindu,domestic_PIs,536.0,3.047722595313703
r,0.0272872633377119,30559.964596749396,1.0101010100957004,Hindu,domestic_PIs,536.0,1.0101010100957004
I0,825.5588235315529,30556.90860029132,0.9999999999999905,Hindu,domestic_PIs,536.0,0.9999999999999905
d,0.0300792155414555,45789.14815227597,-3.1379378217096328,Islamic,domestic_PIs,571.0,3.1379378217096328
r,0.0317576546310647,47750.0310855904,1.010101010098381,Islamic,domestic_PIs,571.0,1.010101010098381
I0,1501.2647058842704,47745.25608248307,0.999999999999986,Islamic,domestic_PIs,571.0,0.999999999999986
d,0.0552190245713187,7125.730955376892,-3.320166512850315,Japanese,domestic_PIs,424.0,3.320166512850315
I0,1134.406410326152,7444.146318153576,1.000000000000013,Japanese,domestic_PIs,424.0,1.000000000000013
r,0.1015350647620316,7419.386966234759,0.6640723547168604,Japanese,domestic_PIs,424.0,0.6640723547168604
d,0.0418088008437154,21514.23846525017,-3.610683145618948,Other Civilizations,domestic_PIs,494.0,3.610683145618948
r,0.066202385356064,22545.60434133364,1.0101010101008536,Other Civilizations,domestic_PIs,494.0,1.0101010101008536
I0,1477.647058823639,22543.349780899556,1.0000000000000444,Other Civilizations,domestic_PIs,494.0,1.0000000000000444
d,0.0442928225810436,2084.0329643577,-3.443222250829079,Other Western,domestic_PIs,372.0,3.443222250829079
r,0.0599177820154182,2180.1512555130093,1.01010101009818,Other Western,domestic_PIs,372.0,1.01010101009818
I0,129.32352941194162,2179.933240387519,1.000000000000002,Other Western,domestic_PIs,372.0,1.000000000000002
d,0.0336695344484046,128620.69441341578,-3.3745687413562826,Sinic,domestic_PIs,658.0,3.3745687413562826
r,0.0419925102937668,134457.24552484954,1.010101010096865,Sinic,domestic_PIs,658.0,1.010101010096865
I0,5589.7352941290255,134443.79980030254,0.9999999999999784,Sinic,domestic_PIs,658.0,0.9999999999999784
d,0.0459350067675392,61776.13766343291,-3.366421433718481,United States,domestic_PIs,356.0,3.366421433718481
r,0.06202129608846,64573.97105621024,1.0101010100980494,United States,domestic_PIs,356.0,1.0101010100980494
I0,3964.9117647116313,64567.51365910652,1.0000000000000064,United States,domestic_PIs,356.0,1.0000000000000064
