rate,value,target_value_after_1pct_change,elasticity,group,target,M_threshold,abs_elasticity
d,0.0456012888273175,66130.55314272776,-2.074942487612748,Anglosphere ex-US,domestic_active,3183.492021276596,2.074942487612748
h_D,0.0886244132610387,67757.71518864752,0.334532851036954,Anglosphere ex-US,domestic_active,3183.492021276596,0.334532851036954
alpha,0.0486519990788181,67375.88691947341,-0.2308722974430598,Anglosphere ex-US,domestic_active,3183.492021276596,0.2308722974430598
d,0.0458472850546197,191120.4557188904,-2.037370116276066,Continental Europe,domestic_active,3923.499485066941,2.037370116276066
h_D,0.0874078776328974,195608.0108219547,0.2628164231015568,Continental Europe,domestic_active,3923.499485066941,0.2628164231015568
p_D,0.0733475891758883,195515.19164156407,0.2152400871174517,Continental Europe,domestic_active,3923.499485066941,0.2152400871174517
d,0.0277057844536427,52552.64160383445,-1.6500752021936025,Hindu,domestic_active,2248.8695652173915,1.6500752021936025
h_D,0.0622966244175946,53528.43263863999,0.1760741970117981,Hindu,domestic_active,2248.8695652173915,0.1760741970117981
alpha,0.0276416787397928,53378.33681751492,-0.1048234376189689,Hindu,domestic_active,2248.8695652173915,0.1048234376189689
d,0.0300792155414555,86980.6118703478,-1.741254404100773,Islamic,domestic_active,2254.7179487179487,1.741254404100773
h_D,0.0571401869452409,88703.4092367828,0.2049253766778246,Islamic,domestic_active,2254.7179487179487,0.2049253766778246
alpha,0.0289221310480643,88419.1198515725,-0.1162257140805558,Islamic,domestic_active,2254.7179487179487,0.1162257140805558
d,0.0552190245713187,28745.45407099333,-1.99910738398358,Japanese,domestic_active,1792.6470588235293,1.99910738398358
h_D,0.0398996220291603,29425.634637513816,0.3198089390790956,Japanese,domestic_active,1792.6470588235293,0.3198089390790956
p_D,0.0639860385459953,29394.763575835877,0.214561285207614,Japanese,domestic_active,1792.6470588235293,0.214561285207614
d,0.0418088008437154,58083.029735090655,-2.1427376060426777,Other Civilizations,domestic_active,2068.969696969697,2.1427376060426777
h_D,0.0452822484630843,59552.67934398059,0.3333020919593953,Other Civilizations,domestic_active,2068.969696969697,0.3333020919593953
p_D,0.0742625094026513,59471.89535546333,0.1971986552478666,Other Civilizations,domestic_active,2068.969696969697,0.1971986552478666
d,0.0442928225810436,4723.677050715958,-2.08467607158048,Other Western,domestic_active,1601.2173913043478,2.08467607158048
h_D,0.0932204689466296,4837.065883269928,0.2657183669437465,Other Western,domestic_active,1601.2173913043478,0.2657183669437465
p_D,0.0603470599633108,4834.490578076732,0.2123358347555828,Other Western,domestic_active,1601.2173913043478,0.2123358347555828
d,0.0336695344484046,298034.1474066192,-1.9414116770945755,Sinic,domestic_active,3129.4270557029176,1.9414116770945755
h_D,0.0420745335283189,304650.78327314043,0.2355803829211976,Sinic,domestic_active,3129.4270557029176,0.2355803829211976
p_D,0.0822633925951051,304361.4686690015,0.140390680969494,Sinic,domestic_active,3129.4270557029176,0.140390680969494
d,0.0459350067675392,144049.27731428528,-2.0516780630410527,United States,domestic_active,1844.0637813211845,2.0516780630410527
h_D,0.0937795038931025,147526.12087517808,0.3124503711735785,United States,domestic_active,1844.0637813211845,0.3124503711735785
p_D,0.0723249223382045,147394.0741076242,0.2226633237114641,United States,domestic_active,1844.0637813211845,0.2226633237114641
