group,lever,factor,baseline_T,counterfactual_T,delta_T,delta_T_pct,baseline_margin,counterfactual_margin,delta_margin,baseline_P_D,counterfactual_P_D,delta_P_D
Anglosphere ex-US,alpha,0.9,67531.7991356425,68705.61609368256,1173.8169580400572,1.73816923740231,64348.30711436591,65522.12407240597,1173.8169580400572,29813.61988928158,30113.902308592198,300.2824193106171
Anglosphere ex-US,alpha,0.95,67531.7991356425,68111.40248671928,579.6033510767738,0.8582673029524929,64348.30711436591,64927.910465442685,579.6033510767738,29813.61988928158,29961.892322483163,148.27243320158232
Anglosphere ex-US,alpha,1.05,67531.7991356425,66966.27373888461,-565.5253967578901,-0.8374208950393747,64348.30711436591,63782.78171760802,-565.5253967578901,29813.61988928158,29668.9488371581,-144.6710521234818
Anglosphere ex-US,alpha,1.1,67531.7991356425,66414.31954270073,-1117.4795929417742,-1.6547457749455712,64348.30711436591,63230.82752142414,-1117.4795929417742,29813.61988928158,29527.749529852565,-285.8703594290164
Anglosphere ex-US,alpha,1.2,67531.7991356425,65349.216495444314,-2182.5826401981903,-3.2319332049991965,64348.30711436591,62165.72447416772,-2182.5826401981903,29813.61988928158,29255.277985073306,-558.3419042082751
Anglosphere ex-US,beta,0.9,67531.7991356425,67055.2198635431,-476.5792720994068,-0.7057109068605781,64348.30711436591,63871.727842266504,-476.5792720994068,29813.61988928158,29490.55805716829,-323.0618321132897
Anglosphere ex-US,beta,0.95,67531.7991356425,67297.41548367045,-234.38365197204985,-0.34707153514638833,64348.30711436591,64113.92346239386,-234.38365197204985,29813.61988928158,29655.49175318597,-158.12813609561272
Anglosphere ex-US,beta,1.05,67531.7991356425,67758.74791367308,226.94877803057898,0.3360620936142038,64348.30711436591,64575.25589239649,226.94877803057898,29813.61988928158,29965.300327151977,151.68043787039642
Anglosphere ex-US,beta,1.1,67531.7991356425,67978.6149497218,446.8158140792948,0.6616376578118893,64348.30711436591,64795.122928445206,446.8158140792948,29813.61988928158,30110.867448832058,297.2475595504766
Anglosphere ex-US,beta,1.2,67531.7991356425,68398.40758883195,866.6084531894448,1.2832598335619625,64348.30711436591,65214.915567555356,866.6084531894448,29813.61988928158,30384.892860611963,571.2729713303816
Anglosphere ex-US,h_D,0.9,67531.7991356425,66736.21201769829,-795.5871179442183,-1.1780925847188286,64348.30711436591,63552.71999642169,-795.5871179442183,29813.61988928158,28701.512076104886,-1112.1078131766953
Anglosphere ex-US,h_D,0.95,67531.7991356425,67144.16192508151,-387.63721056099166,-0.5740069352845084,64348.30711436591,63960.66990380492,-387.63721056099166,29813.61988928158,29271.762987856568,-541.8569014250133
Anglosphere ex-US,h_D,1.05,67531.7991356425,67900.60391538955,368.8047797470499,0.5461201751878086,64348.30711436591,64717.11189411296,368.8047797470499,29813.61988928158,30329.151963447683,515.5320741661017
Anglosphere ex-US,h_D,1.1,67531.7991356425,68251.91611090435,720.1169752618443,1.0663376135077303,64348.30711436591,65068.424089627755,720.1169752618443,29813.61988928158,30820.23210876959,1006.6122194880081
Anglosphere ex-US,h_D,1.2,67531.7991356425,68906.81541697444,1375.016281331933,2.036101953348101,64348.30711436591,65723.32339569784,1375.0162813319257,29813.61988928158,31735.680107734806,1922.0602184532254
Anglosphere ex-US,h_A,0.9,67531.7991356425,67500.63096165663,-31.16817398587591,-0.0461533298161839,64348.30711436591,64317.138940380035,-31.16817398587591,29813.61988928158,29729.838161492953,-83.7817277886279
Anglosphere ex-US,h_A,0.95,67531.7991356425,67516.79128663761,-15.007849004890886,-0.02222338098048674,64348.30711436591,64333.29926536102,-15.007849004890886,29813.61988928158,29773.2779840872,-40.34190519438198
Anglosphere ex-US,h_A,1.05,67531.7991356425,67545.77354752753,13.974411885021254,0.020693083945464916,64348.30711436591,64362.28152625093,13.974411885021254,29813.61988928158,29851.183859923174,37.56397064159319
Anglosphere ex-US,h_A,1.1,67531.7991356425,67558.81771282693,27.01857718442625,0.04000867373629049,64348.30711436591,64375.32569155034,27.01857718442625,29813.61988928158,29886.247277717262,72.6273884356815
Anglosphere ex-US,h_A,1.2,67531.7991356425,67582.4636613499,50.66452570739784,0.07502321329487235,64348.30711436591,64398.97164007331,50.66452570739784,29813.61988928158,29949.8088589428,136.18896966121974
Anglosphere ex-US,p_D,0.9,67531.7991356425,67531.7991356425,0.0,0.0,64348.30711436591,64348.30711436591,0.0,29813.61988928158,28726.843945488297,-1086.7759437932837
Anglosphere ex-US,p_D,0.95,67531.7991356425,67531.79913564249,-1.4551915228366852e-11,-2.1548241590807137e-14,64348.30711436591,64348.307114365896,-1.4551915228366852e-11,29813.61988928158,29287.529664600097,-526.090224681484
Anglosphere ex-US,p_D,1.05,67531.7991356425,67531.79913564248,-2.9103830456733704e-11,-4.3096483181614274e-14,64348.30711436591,64348.30711436588,-2.9103830456733704e-11,29813.61988928158,30308.22071591247,494.60082663088906
Anglosphere ex-US,p_D,1.1,67531.7991356425,67531.79913564248,-2.9103830456733704e-11,-4.3096483181614274e-14,64348.30711436591,64348.30711436588,-2.9103830456733704e-11,29813.61988928158,30774.077211706626,960.4573224250453
Anglosphere ex-US,p_D,1.2,67531.7991356425,67531.7991356425,0.0,0.0,64348.30711436591,64348.30711436591,0.0,29813.61988928158,31629.029772555456,1815.4098832738746
Anglosphere ex-US,p_A,0.9,67531.7991356425,67531.7991356425,0.0,0.0,64348.30711436591,64348.30711436591,0.0,29813.61988928158,29763.96027280826,-49.65961647332006
Anglosphere ex-US,p_A,0.95,67531.7991356425,67531.79913564249,-1.4551915228366852e-11,-2.1548241590807137e-14,64348.30711436591,64348.307114365896,-1.4551915228366852e-11,29813.61988928158,29789.582277241574,-24.037612040006934
Anglosphere ex-US,p_A,1.05,67531.7991356425,67531.79913564249,-1.4551915228366852e-11,-2.1548241590807137e-14,64348.30711436591,64348.307114365896,-1.4551915228366852e-11,29813.61988928158,29836.215662887673,22.595773606091825
Anglosphere ex-US,p_A,1.1,67531.7991356425,67531.79913564249,-1.4551915228366852e-11,-2.1548241590807137e-14,64348.30711436591,64348.307114365896,-1.4551915228366852e-11,29813.61988928158,29857.495548467487,43.87565918590553
Anglosphere ex-US,p_A,1.2,67531.7991356425,67531.7991356425,0.0,0.0,64348.30711436591,64348.30711436591,0.0,29813.61988928158,29896.542145126885,82.92225584530388
Anglosphere ex-US,d,0.9,67531.7991356425,75191.52964855786,7659.730512915354,11.34240551999841,64348.30711436591,72008.03762728126,7659.7305129153465,29813.61988928158,35744.37420651102,5930.754317229439
Anglosphere ex-US,d,0.95,67531.7991356425,71149.25320494224,3617.45406929974,5.356667696700663,64348.30711436591,67965.76118366564,3617.4540692997325,29813.61988928158,32585.383740001733,2771.763850720152
Anglosphere ex-US,d,1.05,67531.7991356425,64276.017863135945,-3255.7812725065596,-4.821108446951173,64348.30711436591,61092.52584185935,-3255.7812725065596,29813.61988928158,27368.23220349647,-2445.38768578511
Anglosphere ex-US,d,1.1,67531.7991356425,61330.56372721007,-6201.235408432432,-9.182689470447547,64348.30711436591,58147.07170593348,-6201.235408432432,29813.61988928158,25199.993535366928,-4613.626353914653
Anglosphere ex-US,d,1.2,67531.7991356425,56209.247813619644,-11322.55132202286,-16.76625155399858,64348.30711436591,53025.75579234305,-11322.55132202286,29813.61988928158,21541.246275069403,-8272.373614212178
Continental Europe,alpha,0.9,195095.26841586374,196959.49211999978,1864.223704136035,0.9555453185887975,191171.7689307968,193035.99263493283,1864.223704136035,83505.51305950587,83847.85107160964,342.3380121037626
Continental Europe,alpha,0.95,195095.26841586374,196020.29615653498,925.0277406712412,0.4741415556524202,191171.7689307968,192096.79667146804,925.0277406712412,83505.51305950587,83675.38116985104,169.86811034516722
Continental Europe,alpha,1.05,195095.26841586374,194184.09069641598,-911.1777194477618,-0.46704244897703084,191171.7689307968,190260.59121134903,-911.1777194477618,83505.51305950587,83338.1883074083,-167.32475209757104
