group,lever,direction,lever_change_pct,margin_gain,normalised_margin_gain_per_10pct
Anglosphere ex-US,d,decrease,-9.999999999999998,7659.7305129153465,7659.730512915348
Anglosphere ex-US,d,decrease,-5.000000000000004,3617.4540692997325,7234.908138599459
Anglosphere ex-US,alpha,decrease,-9.999999999999998,1173.8169580400572,1173.8169580400574
Anglosphere ex-US,alpha,decrease,-5.000000000000004,579.6033510767738,1159.2067021535465
Anglosphere ex-US,h_D,increase,5.000000000000004,368.8047797470499,737.6095594940991
Anglosphere ex-US,h_D,increase,10.000000000000009,720.1169752618443,720.1169752618437
Anglosphere ex-US,h_D,increase,19.999999999999996,1375.0162813319257,687.508140665963
Anglosphere ex-US,beta,increase,5.000000000000004,226.94877803057898,453.89755606115756
Anglosphere ex-US,beta,increase,10.000000000000009,446.8158140792948,446.8158140792944
Anglosphere ex-US,beta,increase,19.999999999999996,866.6084531894448,433.30422659472254
Anglosphere ex-US,h_A,increase,5.000000000000004,13.974411885021254,27.948823770042484
Anglosphere ex-US,h_A,increase,10.000000000000009,27.01857718442625,27.018577184426224
Anglosphere ex-US,h_A,increase,19.999999999999996,50.66452570739784,25.33226285369893
Anglosphere ex-US,p_D,decrease,-9.999999999999998,0.0,0.0
Anglosphere ex-US,p_D,increase,19.999999999999996,0.0,0.0
Anglosphere ex-US,p_A,decrease,-9.999999999999998,0.0,0.0
Anglosphere ex-US,p_A,increase,19.999999999999996,0.0,0.0
Anglosphere ex-US,p_A,increase,10.000000000000009,-1.4551915228366852e-11,-1.4551915228366839e-11
Anglosphere ex-US,p_D,decrease,-5.000000000000004,-1.4551915228366852e-11,-2.9103830456733678e-11
Anglosphere ex-US,p_D,increase,10.000000000000009,-2.9103830456733704e-11,-2.9103830456733678e-11
Anglosphere ex-US,p_A,decrease,-5.000000000000004,-1.4551915228366852e-11,-2.9103830456733678e-11
Anglosphere ex-US,p_A,increase,5.000000000000004,-1.4551915228366852e-11,-2.9103830456733678e-11
Anglosphere ex-US,p_D,increase,5.000000000000004,-2.9103830456733704e-11,-5.8207660913467356e-11
Anglosphere ex-US,h_A,decrease,-5.000000000000004,-15.007849004890886,-30.015698009781744
Anglosphere ex-US,h_A,decrease,-9.999999999999998,-31.16817398587591,-31.168173985875917
Anglosphere ex-US,beta,decrease,-5.000000000000004,-234.38365197204985,-468.7673039440993
Anglosphere ex-US,beta,decrease,-9.999999999999998,-476.5792720994068,-476.5792720994069
Anglosphere ex-US,h_D,decrease,-5.000000000000004,-387.63721056099166,-775.2744211219826
Anglosphere ex-US,h_D,decrease,-9.999999999999998,-795.5871179442183,-795.5871179442186
Anglosphere ex-US,alpha,increase,19.999999999999996,-2182.5826401981903,-1091.2913200990954
Anglosphere ex-US,alpha,increase,10.000000000000009,-1117.4795929417742,-1117.4795929417733
Anglosphere ex-US,alpha,increase,5.000000000000004,-565.5253967578901,-1131.0507935157793
Anglosphere ex-US,d,increase,19.999999999999996,-11322.55132202286,-5661.275661011431
Anglosphere ex-US,d,increase,10.000000000000009,-6201.235408432432,-6201.235408432427
Anglosphere ex-US,d,increase,5.000000000000004,-3255.7812725065596,-6511.562545013114
Continental Europe,d,decrease,-9.999999999999998,22093.135256634443,22093.135256634447
Continental Europe,d,decrease,-5.000000000000004,10446.746992513421,20893.493985026824
Continental Europe,alpha,decrease,-9.999999999999998,1864.223704136035,1864.2237041360354
Continental Europe,alpha,decrease,-5.000000000000004,925.0277406712412,1850.0554813424808
Continental Europe,h_D,increase,5.000000000000004,585.8730792670103,1171.7461585340195
Continental Europe,h_D,increase,10.000000000000009,1140.8352435424458,1140.835243542445
Continental Europe,h_D,increase,19.999999999999996,2167.3216662307386,1083.6608331153695
Continental Europe,beta,increase,5.000000000000004,440.66727018909296,881.3345403781851
Continental Europe,beta,increase,10.000000000000009,863.0893241779413,863.0893241779405
Continental Europe,beta,increase,19.999999999999996,1657.597309578181,828.7986547890907
Continental Europe,h_A,increase,5.000000000000004,18.529962369881105,37.059924739762174
Continental Europe,h_A,increase,10.000000000000009,35.89486992970342,35.89486992970339
Continental Europe,h_A,increase,19.999999999999996,67.54303212743253,33.77151606371627
Continental Europe,p_D,increase,5.000000000000004,2.9103830456733704e-11,5.8207660913467356e-11
Continental Europe,p_A,increase,5.000000000000004,2.9103830456733704e-11,5.8207660913467356e-11
Continental Europe,p_D,decrease,-9.999999999999998,0.0,0.0
Continental Europe,p_D,decrease,-5.000000000000004,0.0,0.0
Continental Europe,p_D,increase,19.999999999999996,0.0,0.0
Continental Europe,p_A,decrease,-5.000000000000004,0.0,0.0
Continental Europe,p_A,increase,10.000000000000009,0.0,0.0
Continental Europe,p_A,increase,19.999999999999996,-2.9103830456733704e-11,-1.4551915228366855e-11
Continental Europe,p_D,increase,10.000000000000009,-5.820766091346741e-11,-5.8207660913467356e-11
Continental Europe,p_A,decrease,-9.999999999999998,-8.731149137020111e-11,-8.731149137020114e-11
Continental Europe,h_A,decrease,-5.000000000000004,-19.816336626099655,-39.632673252199275
Continental Europe,h_A,decrease,-9.999999999999998,-41.05781696556369,-41.057816965563696
Continental Europe,beta,decrease,-5.000000000000004,-460.13570120511577,-920.2714024102307
Continental Europe,beta,decrease,-9.999999999999998,-941.0753120291338,-941.075312029134
Continental Europe,h_D,decrease,-5.000000000000004,-619.4405451049679,-1238.8810902099347
Continental Europe,h_D,decrease,-9.999999999999998,-1275.418497683684,-1275.4184976836843
Continental Europe,alpha,increase,19.999999999999996,-3564.652977014077,-1782.326488507039
Continental Europe,alpha,increase,10.000000000000009,-1808.8141614700435,-1808.8141614700419
Continental Europe,alpha,increase,5.000000000000004,-911.1777194477618,-1822.355438895522
Continental Europe,d,increase,19.999999999999996,-32848.754941857944,-16424.377470928976
Continental Europe,d,increase,10.000000000000009,-17962.594542578503,-17962.59454257849
Continental Europe,d,increase,5.000000000000004,-9422.176325096807,-18844.352650193596
Hindu,d,decrease,-9.999999999999998,6184.213709968171,6184.213709968173
Hindu,d,decrease,-5.000000000000004,2923.611290585919,5847.222581171833
Hindu,alpha,decrease,-9.999999999999998,504.5959705942514,504.5959705942515
Hindu,alpha,decrease,-5.000000000000004,249.78767253021942,499.5753450604384
Hindu,h_D,increase,5.000000000000004,166.56261419699877,333.12522839399725
Hindu,h_D,increase,10.000000000000009,324.3553458979004,324.3553458979001
Hindu,beta,increase,5.000000000000004,162.0958519489359,324.1917038978715
Hindu,beta,increase,10.000000000000009,315.4752125276282,315.4752125276279
Hindu,h_D,increase,19.999999999999996,616.2631042219145,308.13155211095733
Hindu,beta,increase,19.999999999999996,598.7898305053677,299.3949152526839
Hindu,h_A,increase,5.000000000000004,9.653424161078874,19.30684832215773
Hindu,h_A,increase,10.000000000000009,18.686856577223807,18.68685657722379
Hindu,h_A,increase,19.999999999999996,35.11824196107045,17.55912098053523
Hindu,p_D,increase,5.000000000000004,0.0,0.0
Hindu,p_A,increase,5.000000000000004,0.0,0.0
Hindu,p_A,increase,19.999999999999996,-7.275957614183426e-12,-3.637978807091714e-12
Hindu,p_D,increase,19.999999999999996,-1.4551915228366852e-11,-7.275957614183428e-12
Hindu,p_A,decrease,-9.999999999999998,-7.275957614183426e-12,-7.275957614183428e-12
Hindu,p_D,increase,10.000000000000009,-1.4551915228366852e-11,-1.4551915228366839e-11
Hindu,p_A,increase,10.000000000000009,-1.4551915228366852e-11,-1.4551915228366839e-11
Hindu,p_D,decrease,-9.999999999999998,-2.1827872842550278e-11,-2.1827872842550284e-11
Hindu,p_A,decrease,-5.000000000000004,-1.4551915228366852e-11,-2.9103830456733678e-11
Hindu,p_D,decrease,-5.000000000000004,-2.1827872842550278e-11,-4.3655745685100517e-11
Hindu,h_A,decrease,-5.000000000000004,-10.339511950063752,-20.679023900127486
Hindu,h_A,decrease,-9.999999999999998,-21.440949051378993,-21.440949051378997
Hindu,beta,decrease,-5.000000000000004,-171.5896445944163,-343.17928918883234
Hindu,h_D,decrease,-5.000000000000004,-176.08452016043157,-352.1690403208628
Hindu,beta,decrease,-9.999999999999998,-353.54608364649175,-353.5460836464918
Hindu,h_D,decrease,-9.999999999999998,-362.5314817815088,-362.53148178150883
Hindu,alpha,increase,19.999999999999996,-951.7996422956057,-475.899821147803
Hindu,alpha,increase,10.000000000000009,-485.09554408935946,-485.095544089359
Hindu,alpha,increase,5.000000000000004,-244.91398553691397,-489.8279710738275
Hindu,d,increase,19.999999999999996,-9180.995167959525,-4590.4975839797635
Hindu,d,increase,10.000000000000009,-5023.255875523959,-5023.255875523954
Hindu,d,increase,5.000000000000004,-2635.6179995734783,-5271.235999146952
Islamic,d,decrease,-9.999999999999998,10238.867033061106,10238.867033061108
Islamic,d,decrease,-5.000000000000004,4839.395893583336,9678.791787166663
Islamic,alpha,decrease,-9.999999999999998,917.7122800642392,917.7122800642394
Islamic,alpha,decrease,-5.000000000000004,454.11882393673295,908.2376478734651
Islamic,beta,increase,5.000000000000004,288.5385300138005,577.0770600276004
Islamic,h_D,increase,5.000000000000004,286.98797677099355,573.9759535419867
Islamic,beta,increase,10.000000000000009,561.9218137000134,561.921813700013
Islamic,h_D,increase,10.000000000000009,559.7580866217613,559.7580866217609
Islamic,beta,increase,19.999999999999996,1067.8401301845151,533.9200650922577
Islamic,h_D,increase,19.999999999999996,1066.6714748435625,533.3357374217813
Islamic,h_A,increase,5.000000000000004,19.700296155933756,39.40059231186748
Islamic,h_A,increase,10.000000000000009,38.213362386319204,38.21336238631917
Islamic,h_A,increase,19.999999999999996,72.0826921472617,36.041346073630855
Islamic,p_D,increase,19.999999999999996,0.0,0.0
Islamic,p_A,decrease,-9.999999999999998,0.0,0.0
Islamic,p_A,increase,5.000000000000004,0.0,0.0
Islamic,p_A,increase,10.000000000000009,0.0,0.0
Islamic,p_A,increase,19.999999999999996,-2.9103830456733704e-11,-1.4551915228366855e-11
Islamic,p_D,increase,10.000000000000009,-2.9103830456733704e-11,-2.9103830456733678e-11
Islamic,p_D,decrease,-9.999999999999998,-4.3655745685100555e-11,-4.365574568510057e-11
Islamic,p_D,decrease,-5.000000000000004,-2.9103830456733704e-11,-5.8207660913467356e-11
Islamic,p_A,decrease,-5.000000000000004,-2.9103830456733704e-11,-5.8207660913467356e-11
Islamic,p_D,increase,5.000000000000004,-4.3655745685100555e-11,-8.731149137020103e-11
Islamic,h_A,decrease,-5.000000000000004,-21.005513642186997,-42.01102728437396
Islamic,h_A,decrease,-9.999999999999998,-43.450402213144116,-43.45040221314412
Islamic,h_D,decrease,-5.000000000000004,-302.34722841953044,-604.6944568390603
Islamic,beta,decrease,-5.000000000000004,-305.01722109573893,-610.0344421914773
Islamic,h_D,decrease,-9.999999999999998,-621.3206234065001,-621.3206234065002
Islamic,beta,decrease,-9.999999999999998,-627.9963831162895,-627.9963831162896
Islamic,alpha,increase,19.999999999999996,-1727.3099504871643,-863.6549752435824
Islamic,alpha,increase,10.000000000000009,-880.9523018487525,-880.9523018487517
Islamic,alpha,increase,5.000000000000004,-444.9317085839866,-889.8634171679724
Islamic,d,increase,19.999999999999996,-15184.397097065026,-7592.198548532515
Islamic,d,increase,10.000000000000009,-8310.32918096082,-8310.329180960813
Islamic,d,increase,5.000000000000004,-4361.014131156844,-8722.02826231368
Japanese,d,decrease,-9.999999999999998,3193.820614602042,3193.820614602043
Japanese,d,decrease,-5.000000000000004,1510.4619075417613,3020.92381508352
Japanese,alpha,decrease,-9.999999999999998,398.2271678061843,398.2271678061844
Japanese,alpha,decrease,-5.000000000000004,197.31392418445103,394.6278483689017
Japanese,h_D,increase,5.000000000000004,80.6380277812168,161.27605556243347
Japanese,h_D,increase,10.000000000000009,158.59191182544964,158.5919118254495
Japanese,h_D,increase,19.999999999999996,306.966051379517,153.48302568975853
Japanese,beta,increase,5.000000000000004,74.27133688447066,148.54267376894117
Japanese,beta,increase,10.000000000000009,146.14608951993796,146.14608951993782
Japanese,beta,increase,19.999999999999996,283.16454959831754,141.5822747991588
Japanese,h_A,increase,5.000000000000004,4.2633776397233305,8.526755279446654
Japanese,h_A,increase,10.000000000000009,8.303813914881175,8.303813914881168
Japanese,h_A,increase,19.999999999999996,15.78233493218795,7.891167466093977
Japanese,p_D,increase,5.000000000000004,3.637978807091713e-12,7.2759576141834194e-12
Japanese,p_A,decrease,-5.000000000000004,3.637978807091713e-12,7.2759576141834194e-12
Japanese,p_A,increase,5.000000000000004,3.637978807091713e-12,7.2759576141834194e-12
Japanese,p_A,decrease,-9.999999999999998,3.637978807091713e-12,3.637978807091714e-12
Japanese,p_D,increase,10.000000000000009,0.0,0.0
Japanese,p_A,increase,10.000000000000009,0.0,0.0
Japanese,p_A,increase,19.999999999999996,-3.637978807091713e-12,-1.818989403545857e-12
Japanese,p_D,increase,19.999999999999996,-1.0913936421275139e-11,-5.456968210637571e-12
Japanese,p_D,decrease,-5.000000000000004,-3.637978807091713e-12,-7.2759576141834194e-12
Japanese,p_D,decrease,-9.999999999999998,-7.275957614183426e-12,-7.275957614183428e-12
