rate,value,target_value_after_1pct_change,elasticity,group,target,M_threshold,period
r,0.06989027048757634,65433.40154037354,1.010101010100614,Anglosphere ex-US,domestic_active,3183.4920212765956,early
I0,1989.4545454549384,65426.858200219765,1.0000000000000107,Anglosphere ex-US,domestic_active,3183.4920212765956,early
h_D,0.08576273799047962,65096.84211211797,0.4905513451940658,Anglosphere ex-US,domestic_active,3183.4920212765956,early
p_D,0.09057931351661067,64984.974640892346,0.3178605740857842,Anglosphere ex-US,domestic_active,3183.4920212765956,early
beta,0.022513037499209652,64886.94768157303,0.16653551945833184,Anglosphere ex-US,domestic_active,3183.4920212765956,early
h_A,0.15406033691084076,64798.649596038274,0.03022901041400181,Anglosphere ex-US,domestic_active,3183.4920212765956,early
p_A,0.14047511854289335,64787.19217997361,0.012542099344697296,Anglosphere ex-US,domestic_active,3183.4920212765956,early
alpha,0.048020645478637,64601.58985124741,-0.273973801265722,Anglosphere ex-US,domestic_active,3183.4920212765956,early
d,0.050061078794751655,63051.2533681317,-2.667241476071489,Anglosphere ex-US,domestic_active,3183.4920212765956,early
r,0.06989027048757634,28752.929869837815,1.010101010100618,Anglosphere ex-US,domestic_PIs,614.0,early
I0,1989.4545454549384,28750.054576850944,1.0000000000000024,Anglosphere ex-US,domestic_PIs,614.0,early
h_D,0.08576273799047962,28682.85440867685,0.7639233356082578,Anglosphere ex-US,domestic_PIs,614.0,early
p_D,0.09057931351661067,28646.361142482063,0.6357211481716766,Anglosphere ex-US,domestic_PIs,614.0,early
beta,0.022513037499209652,28523.303749559793,0.20341599717009434,Anglosphere ex-US,domestic_PIs,614.0,early
h_A,0.15406033691084076,28480.28611062263,0.05229344813146478,Anglosphere ex-US,domestic_PIs,614.0,early
p_A,0.14047511854289335,28472.540888776544,0.025084198689394807,Anglosphere ex-US,domestic_PIs,614.0,early
alpha,0.048020645478637,28407.09026402383,-0.2048462552634377,Anglosphere ex-US,domestic_PIs,614.0,early
d,0.050061078794751655,27503.911589702962,-3.3777461835946125,Anglosphere ex-US,domestic_PIs,614.0,early
r,0.06371946118565575,179252.50310078106,1.0101010100995942,Continental Europe,domestic_active,3923.499485066941,early
I0,4915.22727273064,179234.57785047352,1.0000000000000144,Continental Europe,domestic_active,3923.499485066941,early
h_D,0.08767497245068245,178187.47776047495,0.40995141474274827,Continental Europe,domestic_active,3923.499485066941,early
p_D,0.09083924399225089,178041.62144499467,0.32776031054744975,Continental Europe,domestic_active,3923.499485066941,early
beta,0.03725053970887725,177646.77337772044,0.10526052689539783,Continental Europe,domestic_active,3923.499485066941,early
h_A,0.1620753298395073,177498.1915868341,0.021533597306838646,Continental Europe,domestic_active,3923.499485066941,early
p_A,0.13273246685370857,177478.17177338785,0.010252285506851207,Continental Europe,domestic_active,3923.499485066941,early
alpha,0.027624892215714517,177221.78971159132,-0.13422088787296155,Continental Europe,domestic_active,3923.499485066941,early
d,0.049954810045564194,172729.37229955057,-2.665731068875224,Continental Europe,domestic_active,3923.499485066941,early
r,0.06371946118565575,77917.73409050821,1.0101010100996164,Continental Europe,domestic_PIs,781.0,early
I0,4915.22727273064,77909.94231710026,1.00000000000003,Continental Europe,domestic_PIs,781.0,early
h_D,0.08767497245068245,77679.76703982921,0.7016080064627291,Continental Europe,domestic_PIs,781.0,early
p_D,0.09083924399225089,77644.21589591322,0.655520621095396,Continental Europe,domestic_PIs,781.0,early
beta,0.03725053970887725,77233.0827118072,0.12254048582973846,Continental Europe,domestic_PIs,781.0,early
h_A,0.1620753298395073,77168.99736274222,0.039462253924241276,Continental Europe,domestic_PIs,781.0,early
p_A,0.13273246685370857,77154.37367975188,0.02050457101372902,Continental Europe,domestic_PIs,781.0,early
alpha,0.027624892215714517,77074.73554125932,-0.08273580817961285,Continental Europe,domestic_PIs,781.0,early
d,0.049954810045564194,74545.63223512619,-3.361385827965085,Continental Europe,domestic_PIs,781.0,early
r,0.03559373627467721,23633.289830526897,1.010101010089929,Hindu,domestic_active,2248.8695652173915,early
I0,436.2272727296365,23630.926501546437,1.0000000000000004,Hindu,domestic_active,2248.8695652173915,early
h_D,0.051882696124553124,23488.418144376432,0.39091071722352494,Hindu,domestic_active,2248.8695652173915,early
p_D,0.1113865038781269,23442.58160359619,0.19500258732005285,Hindu,domestic_active,2248.8695652173915,early
beta,0.041747916345679925,23433.45904960928,0.15601224334780905,Hindu,domestic_active,2248.8695652173915,early
h_A,0.12985480002476207,23406.46000356626,0.04061669801586621,Hindu,domestic_active,2248.8695652173915,early
p_A,0.12927536413799565,23399.59290453483,0.01126630406796902,Hindu,domestic_active,2248.8695652173915,early
alpha,0.030182169506642445,23366.12949225808,-0.1317583310317537,Hindu,domestic_active,2248.8695652173915,early
d,0.03273590082143949,22790.26174458662,-2.5930516921283258,Hindu,domestic_active,2248.8695652173915,early
r,0.03559373627467721,12379.526706963752,1.0101010100899326,Hindu,domestic_PIs,536.0,early
I0,436.2272727296365,12378.288754294414,1.0000000000000033,Hindu,domestic_PIs,536.0,early
h_D,0.051882696124553124,12335.291351176678,0.6491649370043502,Hindu,domestic_PIs,536.0,early
p_D,0.1113865038781269,12303.529426701305,0.3900051746422257,Hindu,domestic_PIs,536.0,early
beta,0.041747916345679925,12276.483506178713,0.16932539999775784,Hindu,domestic_PIs,536.0,early
h_A,0.12985480002476207,12264.465113170887,0.07126195052706598,Hindu,domestic_PIs,536.0,early
p_A,0.12927536413799565,12258.49297583502,0.02253260813608194,Hindu,domestic_PIs,536.0,early
alpha,0.030182169506642445,12249.927317782336,-0.04735843096421516,Hindu,domestic_PIs,536.0,early
d,0.03273590082143949,11867.178106843805,-3.170380608919153,Hindu,domestic_PIs,536.0,early
r,0.043724715458210994,38281.64021180506,1.0101010100998233,Islamic,domestic_active,2254.7179487179487,early
I0,811.0909090913892,38277.81204778433,1.0000000000000075,Islamic,domestic_active,2254.7179487179487,early
h_D,0.052971551706087625,38063.70825155976,0.43506479963675093,Islamic,domestic_active,2254.7179487179487,early
p_D,0.11204462740508085,37980.68370768156,0.21599587999133923,Islamic,domestic_active,2254.7179487179487,early
beta,0.038666152725991346,37962.09495796572,0.16694752479914315,Islamic,domestic_active,2254.7179487179487,early
h_A,0.10241230823585566,37916.56987498372,0.04682484444735108,Islamic,domestic_active,2254.7179487179487,early
