rate,value,target_value_after_1pct_change,elasticity,group,target,M_threshold,abs_elasticity
d,0.0456012888273175,66853.50319875884,-1.0044096937522031,Anglosphere ex-US,domestic_active,3183.492021276596,1.0044096937522031
I,3771.8823529411766,68207.11712699893,0.9999999999999978,Anglosphere ex-US,domestic_active,3183.492021276596,0.9999999999999978
alpha,0.0486519990788181,67417.58439402826,-0.1691273490061047,Anglosphere ex-US,domestic_active,3183.492021276596,0.1691273490061047
d,0.0458472850546197,193133.85098471865,-1.0053639163427015,Continental Europe,domestic_active,3923.499485066941,1.0053639163427015
I,9935.941176470587,197046.22110002232,0.9999999999999984,Continental Europe,domestic_active,3923.499485066941,0.9999999999999984
alpha,0.0279291100322499,194911.93488401317,-0.0939712855873823,Continental Europe,domestic_active,3923.499485066941,0.0939712855873823
d,0.0277057844536427,52885.58112564866,-1.026993736955594,Hindu,domestic_active,2248.8695652173915,1.026993736955594
I,1651.1176470588234,53968.692023907526,0.9999999999999865,Hindu,domestic_active,2248.8695652173915,0.9999999999999865
alpha,0.0276416787397928,53384.980446777794,-0.0923901817740426,Hindu,domestic_active,2248.8695652173915,0.0923901817740426
d,0.0300792155414555,87613.85814728007,-1.025899757971273,Islamic,domestic_active,2254.7179487179487,1.025899757971273
I,3002.529411764706,89407.22523605844,1.000000000000013,Islamic,domestic_active,2254.7179487179487,1.000000000000013
alpha,0.0289221310480643,88432.29286739361,-0.101344650560005,Islamic,domestic_active,2254.7179487179487,0.101344650560005
I,1882.764705882353,29625.147115199212,1.0000000000000029,Japanese,domestic_active,1792.6470588235293,1.0000000000000029
d,0.0552190245713187,29048.145574638136,-0.9671516016462166,Japanese,domestic_active,1792.6470588235293,0.9671516016462166
alpha,0.0247545801112815,29292.78946414551,-0.1330955632352642,Japanese,domestic_active,1792.6470588235293,0.1330955632352642
d,0.0418088008437154,58759.39588554969,-1.0032078645375588,Other Civilizations,domestic_active,2068.969696969697,1.0032078645375588
I,2955.294117647059,59948.39687653478,1.000000000000017,Other Civilizations,domestic_active,2068.969696969697,1.000000000000017
alpha,0.0334535936134483,59268.06400705404,-0.1462127996361832,Other Civilizations,domestic_active,2068.969696969697,0.1462127996361832
d,0.0442928225810436,4774.056619853885,-1.0403769422048406,Other Western,domestic_active,1601.2173913043478,1.0403769422048406
I,258.6470588235294,4872.48944272591,0.9999999999999966,Other Western,domestic_active,1601.2173913043478,0.9999999999999966
alpha,0.0646854266708447,4816.999210519558,-0.1502361408311436,Other Western,domestic_active,1601.2173913043478,0.1502361408311436
d,0.0336695344484046,300849.8490343543,-1.0149952608659096,Sinic,domestic_active,3129.4270557029176,1.0149952608659096
I,11179.470588235294,306974.1202978053,0.9999999999999608,Sinic,domestic_active,3129.4270557029176,0.9999999999999608
alpha,0.022456174363239,303702.2381162596,-0.0765080131691223,Sinic,domestic_active,3129.4270557029176,0.0765080131691223
I,7929.823529411765,148537.27681120223,1.0000000000000266,United States,domestic_active,1844.0637813211845,1.0000000000000266
d,0.0459350067675392,145597.93777089994,-0.998644713595143,United States,domestic_active,1844.0637813211845,0.998644713595143
alpha,0.037901752973233,146861.25690422603,-0.1396331899887508,United States,domestic_active,1844.0637813211845,0.1396331899887508
